cmte_id,state,is_home_state,contributions,amount
C00000935,AA,0,15,21337
C00000935,AE,0,304,15399
C00000935,AK,0,1994,192316
C00000935,AL,0,6107,409703
C00000935,AP,0,9,1275
C00000935,AR,0,3132,151677
C00000935,AZ,0,15917,1248975
C00000935,CA,0,172967,30995424
C00000935,CO,0,20038,2638162
C00000935,CT,0,14716,3003434
C00000935,DC,0,9198,2593858
C00000935,DE,0,3437,375245
C00000935,FL,0,43873,4511396
C00000935,GA,0,15919,1468992
C00000935,GU,0,11,475
C00000935,HI,0,4764,440105
C00000935,IA,0,5901,461867
C00000935,ID,0,2989,200363
C00000935,IL,0,29139,5818297
C00000935,IN,0,10324,910040
C00000935,KS,0,4462,438433
C00000935,KY,0,5106,544010
C00000935,LA,0,4350,335258
C00000935,MA,0,33989,7430948
C00000935,MD,0,30651,4789878
C00000935,ME,0,4603,557647
C00000935,MI,0,21138,1647101
C00000935,MN,0,14720,1623963
C00000935,MO,0,10619,1312037
C00000935,MP,0,8,400
C00000935,MS,0,1812,137107
C00000935,MT,0,2536,169745
C00000935,NC,0,19576,2094569
C00000935,ND,0,985,54356
C00000935,NE,0,2397,172458
C00000935,NH,0,4196,938682
C00000935,NJ,0,25601,2219853
C00000935,NM,0,8932,732447
C00000935,NV,0,6096,675665
C00000935,NY,0,76899,12631951
C00000935,OH,0,20396,1581944
C00000935,OK,0,5415,538718
C00000935,OR,0,17780,1944809
C00000935,PA,0,32283,3170673
C00000935,PR,0,339,214090
C00000935,RI,0,3261,378293
C00000935,SC,0,7729,602876
C00000935,SD,0,1348,113822
C00000935,TN,0,9384,1189346
C00000935,TX,0,43209,4923006
C00000935,UT,0,4271,306959
C00000935,VA,0,26577,3673887
C00000935,VI,0,281,8563
C00000935,VT,0,3191,415817
C00000935,WA,0,39049,4855226
C00000935,WI,0,10970,880519
C00000935,WV,0,1895,123238
C00000935,WY,0,1067,142085
C00000935,ZZ,0,1826,529970
C00003418,AA,0,5,175
C00003418,AE,0,78,8844
C00003418,AK,0,3548,206750
C00003418,AL,0,14944,1502312
C00003418,AP,0,2,271
C00003418,AR,0,7699,586536
C00003418,AS,0,7,690
C00003418,AZ,0,29200,2317789
C00003418,CA,0,95772,9012591
C00003418,CO,0,16256,1642347
C00003418,CT,0,7560,1096407
C00003418,DC,0,791,139270
C00003418,DE,0,3196,211033
C00003418,FL,0,88701,9455606
C00003418,GA,0,32649,2927143
C00003418,GU,0,149,12472
C00003418,HI,0,2057,194390
C00003418,IA,0,7131,611726
C00003418,ID,0,8148,588252
C00003418,IL,0,30058,2810377
C00003418,IN,0,15789,1369679
C00003418,KS,0,9089,893489
C00003418,KY,0,11095,797729
C00003418,LA,0,12857,961970
C00003418,MA,0,11676,1095829
C00003418,MD,0,16619,1222406
C00003418,ME,0,3193,209212
C00003418,MI,0,27820,2738967
C00003418,MN,0,14021,1265213
C00003418,MO,0,16608,1376178
C00003418,MP,0,11,261
C00003418,MS,0,8653,626182
C00003418,MT,0,4969,335331
C00003418,NC,0,24295,2459691
C00003418,ND,0,3001,265267
C00003418,NE,0,5217,542914
C00003418,NH,0,4588,362188
C00003418,NJ,0,21164,1755104
C00003418,NM,0,5048,423084
C00003418,NV,0,11625,1368940
C00003418,NY,0,34962,3906926
C00003418,OH,0,26370,2972860
C00003418,OK,0,13967,1322877
C00003418,OR,0,13066,892662
C00003418,PA,0,29702,2516365
C00003418,PR,0,158,21769
C00003418,RI,0,1285,171345
C00003418,SC,0,17767,1319132
C00003418,SD,0,2469,263561
C00003418,TN,0,18765,2274300
C00003418,TX,0,92761,9928437
C00003418,UT,0,8120,665991
C00003418,VA,0,25901,2585625
C00003418,VI,0,25,3380
C00003418,VT,0,1015,90620
C00003418,WA,0,21740,1648446
C00003418,WI,0,13433,1482360
C00003418,WV,0,4256,313845
C00003418,WY,0,3804,554239
C00010603,AA,0,5,2050
C00010603,AE,0,223,33787
C00010603,AK,0,1515,199496
C00010603,AL,0,3346,437008
C00010603,AP,0,49,7251
C00010603,AR,0,2390,363010
C00010603,AS,0,9,430
C00010603,AZ,0,9906,1264107
C00010603,CA,0,100490,20675953
C00010603,CO,0,14142,2245626
C00010603,CT,0,8518,2241700
C00010603,DC,0,6569,1869425
C00010603,DE,0,2430,389067
C00010603,FL,0,27398,4822730
C00010603,GA,0,10239,1269616
C00010603,GU,0,54,8045
C00010603,HI,0,2667,500081
C00010603,IA,0,3680,589269
C00010603,ID,0,2283,308740
C00010603,IL,0,20501,3368353
C00010603,IN,0,7396,983547
C00010603,KS,0,3718,511110
