cmte_id,committee,committee_type,candidate,party,office,office_state,district,total_contributions,total_amount
C00000935,DCCC,Party committee,,DEM,,,,869735,119562714
C00003418,REPUBLICAN NATIONAL COMMITTEE,Party committee,,REP,,,,904855,86329355
C00010603,DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,Party committee,,DEM,,,,554965,101049271
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,Party committee,,DEM,,,,67538,18218464
C00027466,NRSC,Party committee,,REP,,,,1831660,99082084
C00042366,DSCC,Party committee,,DEM,,,,792523,102468295
C00075820,NRCC,Party committee,,REP,,,,633674,40684815
C00193433,EMILYS LIST,PAC,,,,,,177349,19847429
C00264697,FRIENDS OF SHERROD BROWN,Candidate committee,"BROWN, SHERROD",DEM,Senate,OH,,534361,50625798
C00326801,TAMMY BALDWIN FOR SENATE,Candidate committee,"BALDWIN, TAMMY",DEM,Senate,WI,,207232,27121053
C00341396,MOVEON.ORG POLITICAL ACTION,Hybrid PAC,,,,,,319077,13289907
C00343871,SCHIFF FOR SENATE,Candidate committee,"SCHIFF, ADAM",DEM,Senate,CA,,281014,26169968
C00401224,ACTBLUE,Hybrid PAC,,,,,,3959969,33916306
C00412304,MONTANANS FOR TESTER,Candidate committee,"TESTER, R. JON",DEM,Senate,MT,,510812,49630537
C00431056,BOB CASEY FOR SENATE INC,Candidate committee,"CASEY, ROBERT P. JR.",DEM,Senate,PA,,240859,27065052
C00492785,TED CRUZ FOR SENATE,Candidate committee,"CRUZ, RAFAEL EDWARD  TED",REP,Senate,TX,,437488,38592755
C00558627,GALLEGO FOR ARIZONA,Candidate committee,"GALLEGO, RUBEN",DEM,Senate,AZ,,300419,30692612
C00568162,SCALISE LEADERSHIP FUND,Joint fundraising committee,,,,,,1267,13597721
C00578609,OHIO GRASSROOTS VICTORY FUND,Joint fundraising committee,,,,,,10631,17962395
C00580068,PROGRESSIVE TURNOUT PROJECT,Hybrid PAC,,,,,,399500,13872783
C00606939,ROSEN FOR NEVADA,Candidate committee,"ROSEN, JACKY",DEM,Senate,NV,,199235,21210508
C00676395,BLACKBURN TENNESSEE VICTORY FUND,Joint fundraising committee,,,,,,281970,11463620
C00703975,HARRIS FOR PRESIDENT,Candidate committee,"HARRIS, KAMALA",DEM,President,US,,3117302,390280937
C00744946,HARRIS VICTORY FUND,Joint fundraising committee,,,,,,2492442,927872876
C00750521,TEAM SCALISE,Joint fundraising committee,,,,,,406228,14021327
C00768200,JEFFRIES VICTORY FUND,Joint fundraising committee,,,,,,1195,32429137
C00770180,CORNYN VICTORY COMMITTEE,Joint fundraising committee,,,,,,874,18753106
C00770941,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,Joint fundraising committee,,,,,,2486206,146553756
C00828152,TEAM STAND FOR AMERICA,Joint fundraising committee,,,,,,60554,26053603
C00828541,"NEVER SURRENDER, INC.",Leadership PAC,,REP,,,,322005,44947006
C00831925,PROTECT THE HOUSE 2024,Joint fundraising committee,,,,,,745,45584694
C00833392,NIKKI HALEY FOR PRESIDENT INC.,Candidate committee,"HALEY, NIKKI",REP,President,US,,223179,34662089
C00834218,ELISSA SLOTKIN FOR MICHIGAN,Candidate committee,"SLOTKIN, ELISSA",DEM,Senate,MI,,176601,29681422
C00836916,TEAM KENNEDY,Candidate committee,"KENNEDY, ROBERT, F. JR., SHANAHAN, NICOLE",OTH,President,US,,177857,47538668
C00837484,BERNIE MORENO FOR SENATE,Candidate committee,"MORENO, BERNIE",REP,Senate,OH,,34436,11352223
C00837518,NRSC VICTORY,Joint fundraising committee,,,,,,220,34315468
C00838912,HARRIS ACTION FUND,Joint fundraising committee,,,,,,2121,58135747
C00839597,COLIN ALLRED FOR SENATE,Candidate committee,"ALLRED, COLIN",DEM,Senate,TX,,528753,44013934
C00840017,ALSOBROOKS FOR SENATE,Candidate committee,"ALSOBROOKS, ANGELA",DEM,Senate,MD,,77989,15481706
C00841130,RESTORE OUR NATION (RON PAC),Hybrid PAC,,REP,,,,71862,26174489
C00844159,TIM SHEEHY FOR MONTANA,Candidate committee,"SHEEHY, TIM",REP,Senate,MT,,83280,14757539
C00848648,DEBBIE FOR FLORIDA,Candidate committee,"MUCARSEL-POWELL, DEBBIE",DEM,Senate,FL,,169048,17872592
C00849778,TED CRUZ VICTORY FUND,Joint fundraising committee,,,,,,1960,18841541
C00851980,FRIENDS OF DAVE MCCORMICK,Candidate committee,"MCCORMICK, DAVE",REP,Senate,PA,,105246,14752895
C00852343,KARI LAKE FOR SENATE,Candidate committee,"LAKE, KARI",REP,Senate,AZ,,139230,12079350
C00858373,GROW THE MAJORITY,Joint fundraising committee,,,,,,1061,37714256
C00867010,TEAM MORENO,Joint fundraising committee,,,,,,4293,12722961
C00867937,"TRUMP 47 COMMITTEE, INC.",Joint fundraising committee,,,,,,10931,348966507
C00869024,HOGAN VICTORY FUND,Joint fundraising committee,,,,,,3266,13433376
C00873893,"TRUMP NATIONAL COMMITTEE JFC, INC.",Joint fundraising committee,,,,,,4632729,289759895
