employer,contributions,amount
RETIRED,13586210,1031955737
NOT EMPLOYED,11142421,992195191
SELF EMPLOYED,2014557,493486992
SELF,710850,103742818
HOMEMAKER,82939,70159942
ENTREPRENEUR,60561,20254476
GOOGLE,19754,8721661
MICROSOFT,43957,6718917
HONEYWELL INTERNATIONAL,83538,6715457
FEDERAL AVIATION ADMINISTRATION,59440,6506718
BOEING,86071,5458687
BLACKSTONE,1224,5224331
LOCKHEED MARTIN,40189,4128221
BAIN CAPITAL,289,3456928
UNEMPLOYED,16029,3405149
USPS,89010,3132302
NORTHROP GRUMMAN CORPORATION,75470,3017498
LDC AND AFFILIATED LOCALS,48771,3015653
CHAIRWOMAN/MEDICAL DIRECTOR,2,3000000
PRICEWATERHOUSECOOPERS LLP,4485,2980006
AMAZON,17145,2939518
ANDREESSEN HOROWITZ,445,2912300
ULINE,357,2905563
GREYLOCK,100,2759730
CHARTER,45994,2696237
VALMORE GP,21,2688200
GOLDMAN SACHS,1972,2646752
RIPPLE,88,2620691
MERITAGE GROUP LP,151,2585571
GOOGLE LLC,15787,2574136
MIDLAND ENERGY INC,28,2535800
THE ELEVANCE HEALTH COMPANIES INC,33209,2535321
STANDARD INDUSTRIES,115,2503427
CEO,1031,2503266
APOLLO GLOBAL MANAGEMENT,771,2454715
JANE STREET CAPITAL,252,2436968
BRODIE GENERATIONAL CAPITAL PARTNERS,40,2424835
CANTOR FITZGERALD,252,2409578
UNITED AIRLINES,32650,2394188
MORGAN STANLEY,12864,2343105
WINKLEVOSS CAPITAL,14,2326171
STANFORD UNIVERSITY,8199,2320535
SPACE EXPLORATION TECHNOLOGIES CORP,19594,2312075
MASS GENERAL HOSPITAL,740,2262640
SOROS FUND MANAGEMENT,61,2240325
LONE PINE CAPITAL,176,2203800
APPLE,10039,2200692
ARCADIA DEVELOPMENT CO,21,2162423
STUDENT,6769,2160152
RAYTHEON TECHNOLOGIES,26316,2160020
STARKEY HEARING TECHNOLOGIES,58,2158222
GRANITE TELECOM,48,2114911
THE BAUPOST GROUP,193,2086858
ELECTRICIANS LOCAL 98,34153,2071774
AMERICAN AIRLINES,25215,2070573
COMCAST (CC) OF WILLOW GROVE,45940,2068751
STEPHENS INC,349,2056529
HARRIS CORPORATION,8451,2048081
MCARTHUR GLEN GROUP,6,2012100
NEW YORK LIFE INSURANCE COMPANY,20811,2009798
HARVARD UNIVERSITY,6744,1992811
STATION CASINOS LLC,120,1979446
SABAN CAPITAL GROUP,27,1966381
EMERSON COLLECTIVE,106,1961662
FISHER INVESTMENTS,286,1957763
PALANTIR TECHNOLOGIES,422,1955128
SULLIVAN & CROMWELL LLP,866,1954007
ENERGY TRANSFER PARTNERS,40,1947775
EY,3841,1946537
APPLE INC,6103,1935678
UNITED HEALTHCARE SERVICES INC,7617,1929914
INTERACTIVE BROKERS,112,1923971
ELI LILLY AND COMPANY,15395,1898823
META,4967,1879517
LFG,55,1865368
GLOBAL WEALTH MANAGEMENT,10144,1863490
INVARIANT,1401,1861953
QUINN EMANUEL,428,1858368
BNSF RAILWAY COMPANY,29085,1852455
THE DUCHOSSOIS GROUP,48,1841482
SV ANGEL LLC,80,1826479
BROWNSTEIN HYATT FARBER SCHRECK,4630,1823467
KLEINER PERKINS,79,1780100
LOWERCASE CAPITAL,9,1776135
UP RAILROAD COMPANY,10207,1763077
PRIME INC,163,1752244
KIRKLAND & ELLIS LLP,1185,1736785
J W CHILDS ASSOCIATES,52,1725489
LEIDOS,12697,1716819
GENERAL MOTORS COMPANY,48237,1715602
VALERO SERVICES INC,27036,1704287
RDV CORPORATION,79,1692900
ORACLE CORPORATION,5071,1652663
COZEN O'CONNOR,1833,1638934
CENTENE CORPORATION,25417,1638556
THE SCOTT FOUNDATION,200,1630309
ZUMIEZ,82,1617710
DAN NEWLIN INJURY ATTORNEYS,72,1613046
KAISER PERMANENTE,15251,1607677
STATE OF CALIFORNIA,12115,1606764
CAPITAL GROUP,678,1581240
AMERICAN FINANCIAL GROUP,59,1564324
THE CARLYLE GROUP,157,1547367
DELTA AIR LINES INC,7787,1541420
CVS HEALTH,11413,1535440
ERNST & YOUNG U S LLP,1556,1527975
JW CHILDS ASSOCIATES,17,1525216
PILOT HOUSE ASSOCIATES LLC,67,1514600
JANE STREET,299,1514232
ANALYSIS GROUP,349,1482888
THE WONDERFUL COMPANY,192,1475941
ADVANCE FINANCIAL,71,1471900
CORNERSTONE GOVERNMENT AFFAIRS,1395,1468027
CENTERVIEW PARTNERS,185,1464749
FORD MOTOR COMPANY,22827,1464302
UNIVERSITY OF CALIFORNIA,10355,1456423
RENAISSANCE TECHNOLOGIES,92,1455990
KPMG LLP,1676,1443234
AMGEN INC,7564,1437926
UNIVERSITY OF MICHIGAN,11644,1437412
DELOITTE & TOUCHE LLP,4268,1432667
INTERACTIVE BROKERS GROUP,11,1423410
GREENBERG TRAURIG,5527,1422174
NETFLIX,2113,1413993
ABBOTT,26728,1411034
TRANSCARENT,140,1410048
HONOR NYC,117,1408999
PARKER MEDIA LLC,4,1395850
BGR GROUP,1202,1395306
UCSF,6426,1391910
COLUMBIA UNIVERSITY,7334,1382892
MEDLEY PARTNERS,121,1382569
JANE STREET GROUP,82,1361369
US SENATE,935,1354060
GENERAL ATOMICS,3068,1353529
ALSOP LOUIE PARTNERS,298,1346665
BLOOMBERG LP,1998,1340087
PLUMBERS & PIPEFITTERS LOCAL 9,6252,1332843
WNDRCO HOLDINGS LLC,3,1332600
UNIVERSITY OF WASHINGTON,7032,1331691
SOUTHWEST AIRLINES,26514,1330575
HUESTON HENNIGAN LLP,128,1326407
BANK OF AMERICA,19835,1325620
THE ARTHUR M BLANK FAMILY FOUNDATION,3,1323000
CATERPILLAR INC,9675,1310101
ABBVIE INC,16745,1308720
AKIN GUMP STRAUSS HAUER & FELD LLP,1389,1299227
ORACLE,6678,1287262
ELLIOTT INVESTMENT MANAGEMENT,173,1284650
LIBERTY MEDIA,35,1277180
FOUNDATIONS HEALTH SOLUTIONS,9,1275110
FUZZY DOOR PRODUCTIONS,3,1273000
KHOSLA VENTURES,53,1259669
RYAN LLC,5761,1246134
LIBERTY MUTUAL,6081,1243808
WELLS FARGO,9958,1243771
HOLLAND & KNIGHT,3756,1242934
FRANKLIN MOUNTAIN MANAGEMENT,6,1230600
COINBASE,471,1225502
ANDREW W BYRD & CO LLC,13,1225000
COVINGTON & BURLING LLP,2178,1224179
INVESTMENTS LIMITED,107,1222504
TGS MANAGEMENT,17,1220830
FOUNDERS FUND,34,1217887
PATHWAYS ORG,5,1212800
JMB REALTY,15,1210210
HNTB CORPORATION,25025,1209476
DELL TECHNOLOGIES INC,21097,1209123
U S HOUSE OF REPRESENTATIVES,369,1206674
PFIZER INC,23801,1203661
MERCK SHARP & DOHME,7567,1198128
LINDA STIEFEL,5,1196200
JP MORGAN,640,1192038
IBM,10004,1188719
ARIEL INVESTMENTS,85,1187279
LIBRA GROUP,27,1181850
CSX CORPORATION,6869,1176414
STERLING MEDICAL GROUP,2,1174600
HUMANA INC,17446,1174318
FORTRESS INVESTMENT GROUP,94,1169031
VERIZON CORP RSRCS GROUP LLC,17141,1163951
MCGUIREWOODS LLP,3266,1163061
PALOMA PARTNERS ADVISORS LP,104,1155400
CONSTELLATION ENERGY GENERATION LLC,15485,1153072
BLOOMBERG,396,1150361
US GOVERNMENT,6040,1147666
7WIREVENTURES,23,1147500
LAS VEGAS SANDS CORPORATION,2,1145300
FREEMAN WEBB COM,910,1140582
LATHAM & WATKINS LLP,1317,1140429
COMCAST,4515,1128644
GREATER GEORGIA,14,1128229
KLEINER PERKINS CAUFIELD & BYERS,81,1127095
HAMILTON POINT INVESTMENTS,15,1122950
GREYLOCK PARTNERS,172,1122709
YALE UNIVERSITY,4787,1122067
