month,committee_type,contributions,amount
2023-01,Candidate committee,91517,15533218
2023-01,Hybrid PAC,39611,1803517
2023-01,Joint fundraising committee,75450,13110528
2023-01,Leadership PAC,2832,1054390
2023-01,PAC,38534,15345846
2023-01,Party committee,38021,9924835
2023-02,Candidate committee,104323,27270100
2023-02,Hybrid PAC,42803,1867755
2023-02,Independent-expenditure committee,71,2513
2023-02,Joint fundraising committee,62169,27580997
2023-02,Leadership PAC,2266,1120733
2023-02,PAC,78293,20543134
2023-02,Party committee,69461,16385948
2023-03,Candidate committee,150448,59461609
2023-03,Hybrid PAC,108094,9445709
2023-03,Independent-expenditure committee,84,5317
2023-03,Joint fundraising committee,112723,63563801
2023-03,Leadership PAC,3557,2210437
2023-03,PAC,144168,31937480
2023-03,Party committee,107017,21067881
2023-04,Candidate committee,160502,32810075
2023-04,Hybrid PAC,62834,2629273
2023-04,Independent-expenditure committee,72,3150
2023-04,Joint fundraising committee,135208,35984188
2023-04,Leadership PAC,3709,1072679
2023-04,PAC,158878,25866485
2023-04,Party committee,126295,16764224
2023-05,Candidate committee,192906,47569215
2023-05,Hybrid PAC,87989,10528638
2023-05,Independent-expenditure committee,240,27431
2023-05,Joint fundraising committee,126462,35436500
2023-05,Leadership PAC,5315,1499929
2023-05,PAC,207091,25831931
2023-05,Party committee,165864,18917491
2023-06,Candidate committee,237570,77358020
2023-06,Hybrid PAC,125479,12674073
2023-06,Independent-expenditure committee,238,19164
2023-06,Joint fundraising committee,163675,66557858
2023-06,Leadership PAC,6683,1930650
2023-06,PAC,282846,37055652
2023-06,Party committee,180812,21608379
2023-07,Candidate committee,252885,40074187
2023-07,Hybrid PAC,229261,7239692
2023-07,Independent-expenditure committee,19,35233
2023-07,Joint fundraising committee,187118,22871776
2023-07,Leadership PAC,7867,1048719
2023-07,PAC,274850,23897345
2023-07,Party committee,185721,16761464
2023-08,Candidate committee,292710,49507364
2023-08,Hybrid PAC,279915,7607332
2023-08,Independent-expenditure committee,2,340
2023-08,Joint fundraising committee,315770,43094561
2023-08,Leadership PAC,9486,1322863
2023-08,PAC,307568,25666390
2023-08,Party committee,218220,20354358
2023-09,Candidate committee,325587,76495745
2023-09,Hybrid PAC,270284,8408580
2023-09,Independent-expenditure committee,9,40564
2023-09,Joint fundraising committee,209305,69086350
2023-09,Leadership PAC,10177,2239619
2023-09,PAC,350109,30175873
2023-09,Party committee,250504,20358646
2023-10,Candidate committee,341047,49170961
2023-10,Hybrid PAC,265139,7083204
2023-10,Independent-expenditure committee,1,480
2023-10,Joint fundraising committee,222355,38470714
2023-10,Leadership PAC,11221,1790955
2023-10,PAC,382525,28872963
2023-10,Party committee,272781,19918369
2023-11,Candidate committee,352284,63702971
2023-11,Hybrid PAC,248069,6952302
2023-11,Independent-expenditure committee,3,7750
2023-11,Joint fundraising committee,204060,45522043
2023-11,Leadership PAC,11466,1645695
2023-11,PAC,419428,27828571
2023-11,Party committee,280364,18956462
2023-12,Candidate committee,392261,95891322
2023-12,Hybrid PAC,250236,8370510
2023-12,Independent-expenditure committee,1,423
2023-12,Joint fundraising committee,223911,64002513
2023-12,Leadership PAC,13182,3015584
2023-12,PAC,471019,43468411
2023-12,Party committee,290451,21851291
2024-01,Candidate committee,434746,66057635
2024-01,Hybrid PAC,61203,4522220
2024-01,Independent-expenditure committee,4,615000
2024-01,Joint fundraising committee,164859,52749993
2024-01,Leadership PAC,4279,1882690
2024-01,PAC,43631,19043000
2024-01,Party committee,74287,18862895
2024-02,Candidate committee,499349,87195907
2024-02,Hybrid PAC,96046,5243223
2024-02,Independent-expenditure committee,5,303055
2024-02,Joint fundraising committee,219700,74417897
2024-02,Leadership PAC,6049,2430277
2024-02,PAC,90791,24736080
2024-02,Party committee,123673,25770357
2024-03,Candidate committee,537963,123297094
2024-03,Hybrid PAC,156413,6650023
2024-03,Independent-expenditure committee,70,5402000
2024-03,Joint fundraising committee,260505,139465594
2024-03,Leadership PAC,9650,3267104
2024-03,PAC,166127,35635415
2024-03,Party committee,213963,34477446
2024-04,Candidate committee,497853,83004412
2024-04,Hybrid PAC,191520,6334586
2024-04,Independent-expenditure committee,71,3297
2024-04,Joint fundraising committee,406649,114694738
2024-04,Leadership PAC,10321,2717138
