occupation,contributions,amount
RETIRED,15530772,1292555929
NOT EMPLOYED,12436896,984727697
ATTORNEY,661320,270389577
CEO,175234,222605582
EXECUTIVE,123453,137320883
PRESIDENT,144033,132924827
INVESTOR,44286,123536462
PHYSICIAN,477090,100796449
OWNER,172660,98702834
HOMEMAKER,115968,98292624
CONSULTANT,257540,78765885
CHAIRMAN,16409,76170199
REAL ESTATE,96726,53063593
PARTNER,49445,44075846
ENGINEER,324893,43809619
MANAGER,190680,43023318
LAWYER,127624,42596877
PROFESSOR,286869,39191427
FOUNDER,12046,35583222
SELF EMPLOYED,161776,35379609
ENTREPRENEUR,75265,32792527
DIRECTOR,105000,28224257
FINANCE,33323,26675119
WRITER,88393,23894093
BUSINESS OWNER,76262,23354179
FARMER,71140,22210076
SALES,207511,21555506
VICE PRESIDENT,66292,21155067
SOFTWARE ENGINEER,104796,19611917
PRINCIPAL,29424,19529261
PHILANTHROPIST,2938,19516871
TEACHER,259497,18698548
MANAGING DIRECTOR,34193,18483946
REAL ESTATE BROKER,71493,17636618
ARTIST,72279,15866840
MANAGING PARTNER,9098,15790475
INVESTMENTS,9087,14136988
BANKER,30972,13986125
CHIEF EXECUTIVE OFFICER,11204,13178345
PRESIDENT & CEO,10243,12282099
REAL ESTATE DEVELOPER,9284,11941368
REALTOR,95495,11915444
CHAIRMAN & CEO,1971,10813521
VENTURE CAPITALIST,1478,10391629
CONTRACTOR,41459,10174465
CO FOUNDER,2991,9952290
CPA,54712,9705415
SCIENTIST,54970,9667213
ACCOUNTANT,84487,9623256
PSYCHOLOGIST,90679,9366248
DEVELOPER,12065,9270192
CFO,25829,9203420
EXECUTIVE DIRECTOR,33948,9196021
ARCHITECT,60961,9095096
FINANCIAL ADVISOR,34533,8935572
EXECUTIVE CHAIRMAN,1491,8726480
LABORER,198458,8618794
REAL ESTATE INVESTOR,11425,8259980
GOVERNMENT RELATIONS,9101,8143433
MARKETING,48141,8086416
INVESTMENT MANAGER,3542,8043288
PRODUCER,23049,7943790
DOCTOR,22164,7645751
COO,14218,7543061
VENTURE CAPITAL,2508,7298562
DENTIST,39172,7147521
INSURANCE BROKER,19279,7111083
DESIGNER,36457,7105703
LOBBYIST,7866,7050859
CONSTRUCTION,39306,7030560
MANAGEMENT,21802,6970877
BUSINESS,12326,6924988
FILMMAKER,7200,6868335
VP,29466,6647469
EDUCATOR,73238,6578723
RANCHER,23196,6227306
PRESIDENT/CEO,9228,6195270
AUTHOR,12782,6068847
ADMINISTRATOR,42319,6015376
INVESTMENT MANAGEMENT,2180,5951923
SENIOR VICE PRESIDENT,26797,5931735
SELF,25999,5903804
CO CEO,1083,5843686
AIR TRAFFIC CONTROLLER,51635,5758312
VICE CHAIRMAN,1573,5633589
MD,34199,5593453
ANALYST,41173,5592177
INVESTMENT BANKER,3069,5537337
BOARD MEMBER,4562,5487708
PRESIDENT AND CEO,4573,5482898
CHAIRMAN AND CEO,1032,5263637
PROJECT MANAGER,50091,5174334
MUSICIAN,43309,5102938
INSURANCE,21790,5079271
AUTO DEALER,7154,5061186
PILOT,68783,4956219
INSURANCE AGENT,27084,4901618
EXECUTIVE VICE PRESIDENT,10249,4745083
C E O,1684,4693915
GENERAL MANAGER,20314,4489751
PRIVATE EQUITY,1350,4289902
FOUNDER & CEO,633,4285508
STUDENT,15325,4281504
PORTFOLIO MANAGER,4021,4243802
PRIVATE INVESTOR,3183,4184208
RESEARCHER,18478,4088972
SENIOR ADVISOR,4052,4061118
INVESTMENT ADVISOR,5847,3879079
CHAIR,1482,3856657
SOCIAL WORKER,47813,3848735
SOFTWARE DEVELOPER,27158,3847976
PSYCHOTHERAPIST,52156,3825410
GOVERNMENT AFFAIRS,5257,3824348
PHARMACIST,35067,3810430
UNEMPLOYED,16784,3724211
AIRLINE PILOT,55886,3723312
PHOTOGRAPHER,17067,3702272
SURGEON,13545,3663619
VETERINARIAN,29452,3633006
MEMBER,3389,3605893
RN,77436,3567728
ADVISOR,10656,3549763
PROGRAMMER,23634,3526869
THERAPIST,28670,3444799
CHAIRMAN/CEO,391,3429525
BUSINESSMAN,7596,3423091
REAL ESTATE DEVELOPMENT,2857,3412406
NURSE,52218,3406507
FIRE FIGHTER / EMS,38629,3378760
CIO,3227,3284835
CONSULTING,12748,3262610
REGISTERED NURSE,67807,3254118
BUSINESS EXECUTIVE,7480,3208107
ACTOR,15220,3169141
ECONOMIST,10941,3151861
HEALTHCARE,15656,3148063
CTO,4486,3080389
AGENT,27067,3036875
EXEC,7151,3028356
ADELSON CLINIC,2,3000000
ACTRESS,3683,2972276
PROPERTY MANAGER,22985,2967519
SVP,9120,2944228
CHIEF OPERATING OFFICER,5993,2942976
PLUMBER,25724,2927709
BOARD OF DIRECTORS,1021,2914799
RETAIL,24434,2911808
BROKER,18520,2853461
PARTNER/PRINCIPAL,2486,2813652
OFFICE MANAGER,34211,2766032
TREASURER,4934,2758907
CO OWNER,6878,2714157
CHIROPRACTOR,11258,2700767
ANESTHESIOLOGIST,15075,2685787
EDITOR,23763,2650686
BUILDER,11235,2589011
MANAGING MEMBER,2183,2580160
PROGRAM MANAGER,24252,2565330
GENERAL COUNSEL,5560,2461138
PUBLISHER,6113,2441308
DEALER,2242,2395245
IT,25029,2351109
CHAIRMAN OF THE BOARD,1046,2341784
FOUNDER AND CEO,542,2340243
PRODUCT MANAGER,13770,2329410
CO PRESIDENT,367,2307750
EVP,4083,2297171
FACTORY WORKER,45254,2267109
CHIEF FINANCIAL OFFICER,7121,2242771
TRUCK DRIVER,48606,2220177
ASSOCIATE,22048,2190274
SMALL BUSINESS OWNER,16334,2187164
INTERIOR DESIGNER,12674,2150085
LIBRARIAN,27907,2115242
PSYCHIATRIST,17765,2075972
MANAGEMENT CONSULTANT,9039,2055232
CO CHAIRMAN,290,2026616
LETTER CARRIER,60226,2021464
PLUMBER/PIPEFITTER,26089,2014153
DRIVER,77526,2010290
GENERAL CONTRACTOR,10145,2002520
BUSINESS REPRESENTATIVE,18645,1994176
FILM PRODUCER,2692,1982982
BANKING,7114,1974825
COMMERCIAL REAL ESTATE,3889,1973663
CIVIL ENGINEER,11814,1967221
REAL ESTATE AGENT,9808,1955639
VENTURE PARTNER,454,1954440
TRADER,2820,1936459
ORTHOPAEDIC SURGEON,4848,1931665
FINANCIAL SERVICES,4930,1921985
PARTNER/OWNER,3646,1887017
BOOKKEEPER,31917,1868524
GENERAL PARTNER,633,1865312
FINANCIAL CONSULTANT,4622,1864047
DERMATOLOGIST,2338,1858613
PHILANTHROPY,1185,1853751
BUSINESS MANAGER,11222,1853197
SENIOR POLICY ADVISOR,2188,1844297
CHAIRMAN EMERITUS,341,1789725
