state,contributions,amount,small_dollar_contributions,small_dollar_amount,max_out_contributions,max_out_amount
AA,562,96899,469,17066,4,31300
AB,5,200,5,200,0,0
AE,6542,479175,5958,173511,13,57852
AK,153364,12491689,138744,4560325,291,1241806
AL,440799,52247503,397698,12646421,2559,18156935
AP,2293,204476,2021,83018,2,13300
AR,293121,29223109,271327,7865103,1350,11137242
AS,157,42679,127,7617,2,8300
AZ,1322307,118164104,1217484,36222516,5100,32533678
BC,12,800,11,600,0,0
CA,6784984,1109131611,6012040,190079540,59422,539140697
CO,1002940,129853701,896006,29158374,5770,49147350
CT,589194,105412330,518566,18254446,5361,52725753
DC,454924,130281404,340081,18485676,6695,46437346
DE,158424,16389814,141128,4691574,598,3312907
FL,3139543,509703864,2852329,87664552,24957,278720217
FM,14,13931,5,90,2,6600
GA,1168264,127996057,1062261,33678368,5161,44211423
GU,2984,970367,1962,76221,30,339200
HI,200159,15652952,183309,5427543,451,2417053
IA,298405,33947169,262684,9052838,1345,7614385
ID,263614,21880820,243138,7309643,633,4930073
IL,1546895,233925844,1373649,46526651,11252,102476752
IN,612683,61511734,557972,17777031,2502,17901418
KS,340923,37804865,306792,9507779,1870,12449644
KY,330008,45949452,298929,10018099,2141,20295212
LA,386579,53658083,351174,10913035,3055,24577029
MA,1218636,230584761,1047031,35810429,13804,110714847
MD,1074490,159616106,927596,30336106,7704,53688480
ME,219518,22872413,195599,6085463,1108,5550208
MH,1,500,0,0,0,0
MI,1304303,140361326,1178425,37771722,5757,43611849
MN,764993,95131611,674634,22254926,3924,30050488
MO,742886,77491098,681231,21609148,3418,26883329
MP,655,103967,534,15682,5,16500
MS,197193,20788067,178898,5586534,806,5833746
MT,249401,30371283,220694,6866636,1489,9768371
NC,1121267,123952160,1008771,32136099,5529,38987311
ND,74958,11328721,63486,2090857,607,2899825
NE,207222,35929733,182459,6606261,1454,17446443
NH,251064,27504271,225831,6994635,1094,8233456
NJ,1228570,150466227,1102384,38789987,7960,49742477
NM,403818,37274001,364501,10878406,1321,7596502
NS,101,678,100,478,0,0
NV,463339,94404987,422359,13039674,3453,61345349
NY,2709043,581717902,2350578,75866957,37082,325852355
OH,1362904,163168347,1227566,39060406,7389,56721648
OK,423217,40771152,391907,11758078,1930,14176594
ON,12,675,12,675,0,0
OR,824475,71239938,745371,22830332,2262,13222595
PA,1736734,194447174,1566361,56904852,7808,55713994
PR,16916,9438790,11560,447016,591,5275497
PW,8,12153,4,153,2,10000
RI,128816,17575171,107834,3943935,718,3674670
SC,559421,54874335,512438,15622807,2529,16718406
SD,107509,16150717,95910,2979655,585,7187255
TN,740684,102464335,667579,21890027,4716,45234057
TX,3902835,553843262,3545209,114373382,28477,267527249
UT,326777,41908568,296053,8587411,2484,18327836
VA,1576184,213790328,1380782,50554042,9658,62964613
VI,3821,1210426,3082,131745,57,687925
VT,117495,13579084,103426,3482257,453,3924118
WA,1620116,188380458,1446046,44827076,8085,61646848
WI,738336,82805527,657230,22456945,3206,22423488
WV,124594,14232903,112373,3623854,763,4131907
WY,107199,26756401,96432,2866580,1196,18497638
ZZ,30891,7000488,24471,920309,361,2996749
