agency_code,naics,industry,obligations
DHS,236220,Commercial and Institutional Building Construction,5871499055
DHS,561612,Security Guards and Patrol Services,3228569602
DHS,541512,Computer Systems Design Services,2567702227
DHS,541519,Other Computer Related Services,2345033400
DHS,541330,Engineering Services,1366029195
DHS,561210,Facilities Support Services,916617556
DHS,541611,Administrative Management and General Management Consulting Services,801368846
DHS,541511,Custom Computer Programming Services,772739191
DHS,561599,All Other Travel Arrangement and Reservation Services,759447859
DHS,336611,Ship Building and Repairing,753178891
DHS,811210,Electronic and Precision Equipment Repair and Maintenance,565183259
DHS,541614,"Process, Physical Distribution, and Logistics Consulting Services",428961297
DOC,541519,Other Computer Related Services,759146059
DOC,541512,Computer Systems Design Services,626582229
DOC,541511,Custom Computer Programming Services,468897343
DOC,541990,"All Other Professional, Scientific, and Technical Services",204921606
DOC,541611,Administrative Management and General Management Consulting Services,194892966
DOC,511199,All Other Publishers,173239591
DOC,336611,Ship Building and Repairing,152196809
DOC,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",151237583
DOC,541330,Engineering Services,138917605
DOC,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",124678605
DOC,541620,Environmental Consulting Services,107440979
DOC,541370,Surveying and Mapping (except Geophysical) Services,61884465
DOD,336411,Aircraft Manufacturing,60654949442
DOD,541330,Engineering Services,40104727544
DOD,336611,Ship Building and Repairing,36159140508
DOD,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",33082539744
DOD,336414,Guided Missile and Space Vehicle Manufacturing,29717963633
DOD,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,19573131555
DOD,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",17926178105
DOD,236220,Commercial and Institutional Building Construction,17212455790
DOD,524114,Direct Health and Medical Insurance Carriers,14148821248
DOD,336412,Aircraft Engine and Engine Parts Manufacturing,11968722542
DOD,237990,Other Heavy and Civil Engineering Construction,9146243487
DOD,541512,Computer Systems Design Services,9061005691
DOE,561210,Facilities Support Services,23474116139
DOE,541710,"Research and Development in the Physical, Engineering, and Life Sciences",7946793697
DOE,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",4022261449
DOE,562910,Remediation Services,3953847995
DOE,541990,"All Other Professional, Scientific, and Technical Services",2239177564
DOE,,,1057192611
DOE,562211,Hazardous Waste Treatment and Disposal,905810704
DOE,541711,Research and Development in Biotechnology,894961395
DOE,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",833702957
DOE,541512,Computer Systems Design Services,537797941
DOE,541330,Engineering Services,484546223
DOE,541519,Other Computer Related Services,376019728
DOI,237990,Other Heavy and Civil Engineering Construction,820601583
DOI,236220,Commercial and Institutional Building Construction,740335808
DOI,541512,Computer Systems Design Services,550490946
DOI,541519,Other Computer Related Services,459253726
DOI,237110,Water and Sewer Line and Related Structures Construction,447562249
DOI,115310,Support Activities for Forestry,314674740
DOI,541611,Administrative Management and General Management Consulting Services,282992086
DOI,541511,Custom Computer Programming Services,221251102
DOI,541330,Engineering Services,203403909
DOI,541110,Offices of Lawyers,147882812
DOI,481211,Nonscheduled Chartered Passenger Air Transportation,130153475
DOI,541360,Geophysical Surveying and Mapping Services,103600009
DOJ,541519,Other Computer Related Services,1424663385
DOJ,561612,Security Guards and Patrol Services,743869868
DOJ,541512,Computer Systems Design Services,607199510
DOJ,622110,General Medical and Surgical Hospitals,542292392
DOJ,623990,Other Residential Care Facilities,438068735
DOJ,541199,All Other Legal Services,430856329
DOJ,541511,Custom Computer Programming Services,417095796
DOJ,541611,Administrative Management and General Management Consulting Services,352009300
DOJ,561210,Facilities Support Services,229698634
DOJ,325412,Pharmaceutical Preparation Manufacturing,217174362
DOJ,236220,Commercial and Institutional Building Construction,208337189
DOJ,541330,Engineering Services,199008766
DOL,611519,Other Technical and Trade Schools,1004506786
DOL,541519,Other Computer Related Services,195811729
DOL,541512,Computer Systems Design Services,170969770
DOL,624310,Vocational Rehabilitation Services,48967294
DOL,541611,Administrative Management and General Management Consulting Services,47738284
DOL,541511,Custom Computer Programming Services,33648831
DOL,541330,Engineering Services,30047521
DOL,541612,Human Resources Consulting Services,26920784
DOL,561210,Facilities Support Services,20777486
DOL,524298,All Other Insurance Related Activities,19508403
DOL,611513,Apprenticeship Training,19034241
DOL,517110,Wired Telecommunications Carriers,18112452
DOS,541519,Other Computer Related Services,1041345723
DOS,561210,Facilities Support Services,1017045149
DOS,541512,Computer Systems Design Services,1000639156
