agency_code,agency,total_obligations,small_business_obligations
DOD,Department of Defense,491670869095,102575065487
VA,Department of Veterans Affairs,78313131132,12868819838
DOE,Department of Energy,48549337829,2345833231
DHS,Department of Homeland Security,28336290147,9781373699
GSA,General Services Administration,23810676419,6301063725
HHS,Department of Health and Human Services,21290230376,7451347659
NASA,National Aeronautics and Space Administration,15782668374,3105669927
DOS,Department of State,9863284807,3588026856
USDA,Department of Agriculture,9569507647,7091368689
DOT,Department of Transportation,9022525885,3319743286
TREAS,Department of the Treasury,8550126224,3289696236
DOJ,Department of Justice,8530595651,3065593843
DOI,Department of the Interior,6551712284,3744405951
DOC,Department of Commerce,4154351993,2328883545
USAID,Agency for International Development,4100468762,515441245
ED,Department of Education,2502613339,401695182
DOL,Department of Labor,1754211420,773836145
SSA,Social Security Administration,1746308711,521138922
EPA,Environmental Protection Agency,1697433937,1054876403
NSF,National Science Foundation,711037985,173387219
SEC,Securities and Exchange Commission,498159347,256860704
SI,Smithsonian Institution,427121357,182306514
PBGC,Pension Benefit Guaranty Corporation,291626660,27068770
NARA,National Archives and Records Administration,207686582,78110824
OPM,Office of Personnel Management,198250775,116989176
