agency_code,vendor,vendor_uei,obligations
DHS,BCCG A JOINT VENTURE,VNQTYNAV9C25,3127100299
DHS,FISHER SAND & GRAVEL CO,XAVBDA4D13N7,928459404
DHS,BARNARD SPENCER JOINT VENTURE,US79M57E8DT9,778434100
DHS,"AUSTAL USA, LLC",RG6LJJM6JBS3,707287782
DHS,"CSI AVIATION, INC",D5BNEHB3UL89,658478143
DHS,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,621382988
DHS,PARAGON SYSTEMS INC,RG1VD6RNMXB5,494108436
DHS,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,372821882
DHS,"CACI, INC. - FEDERAL",N3PBJAVNKF61,362898283
DHS,"WHITING-TURNER CONTRACTING COMPANY, THE",VEP4UN7LDMK5,320390072
DHS,"CORECIVIC, INC.",HJGMJN1JKL46,305768542
DHS,DEPLOYED RESOURCES LLC,GFTGQRJ8F959,292464569
DOC,REED TECHNOLOGY AND INFORMATION SERVICES LLC,M8U2V6FM8643,171796583
DOC,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,158800310
DOC,"EARTH RESOURCES TECHNOLOGY, LLC",DFH4YBBMYMU8,128992322
DOC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,122276704
DOC,JAG ALASKA INC.,Z2JUCG8WMHL3,109651739
DOC,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,101340971
DOC,THE MITRE CORPORATION,DMHDNDCPWUD1,100485198
DOC,LYNKER CORPORATION,MCLPKDBCDKY7,99968273
DOC,"GAMA-1 TECHNOLOGIES, LLC",L3LZRJNCQSA6,60701508
DOC,LOCKHEED MARTIN CORPORATION,HDHVQ4EF8A89,59262147
DOC,DELL FEDERAL SYSTEMS L.P,N1C5QLNPJLS4,57634643
DOC,"THUNDERCAT TECHNOLOGY, LLC",UER4AJLUB8D5,53076159
DOD,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,34088390516
DOD,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,21366142819
DOD,RAYTHEON COMPANY,VTEWM5QSE598,10727310101
DOD,LOCKHEED MARTIN CORPORATION,XFJMYSYFJEK4,10420319268
DOD,AMERISOURCEBERGEN DRUG CORP,KABZK8W6PQT3,7441520573
DOD,RTX CORPORATION,QN1BCFY7JDJ5,7279061881
DOD,HUMANA GOVERNMENT BUSINESS INC,ZE6ZM6NKSV43,6513706439
DOD,THE BOEING COMPANY,JJM4FRDZJDX1,6293091518
DOD,LOCKHEED MARTIN CORPORATION,H7PNSVNN5827,6053523340
DOD,"ATLANTIC DIVING SUPPLY, INC.",GJMSFBCNMSK3,5711357654
DOD,SIKORSKY AIRCRAFT CORPORATION,UTJWTSLMFNG4,4760325111
DOD,HUNTINGTON INGALLS INCORPORATED,C3NLZNSMU254,4628938515
DOE,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",LUJEPCRRT377,5673408174
DOE,"TRIAD NATIONAL SECURITY, LLC",X7WUS5LRBQU3,5199738723
DOE,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",PM52LCJH72T9,3625335907
DOE,UT-BATTELLE LLC,ZLHJJ57QA2H8,2679775141
DOE,"CONSOLIDATED NUCLEAR SECURITY, LLC",EWV8QKG1JUV7,2537032358
DOE,"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES, LLC",DMEGBYTVBQS5,2113530440
DOE,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,XLQ7CKUSQSD5,1954824444
DOE,"BATTELLE ENERGY ALLIANCE, LLC",HG7XL5RBNX55,1937803142
DOE,"PANTEXAS DETERRENCE, LLC",SPG7J8395CJ5,1921935367
DOE,"FERMI FORWARD DISCOVERY GROUP, LLC",VLS6K3EVCMW5,1733790763
DOE,"FLUOR MARINE PROPULSION, LLC",CWHMVCX7K1N6,1724558771
DOE,BATTELLE MEMORIAL INSTITUTE,CWKJEXDG79A7,1645715282
DOI,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,298564061
DOI,"NW CONSTRUCTION, INC",SNSLU2QXJ7Z5,225853815
DOI,KIEWIT INFRASTRUCTURE WEST CO.,KGG6RMJ7D9P8,217243435
DOI,ACACIA CENTER FOR JUSTICE,CAJ4W5QGNKK9,147941462
DOI,JACOBS PROJECT MANAGEMENT CO.,WEBHVDKSC4T5,132562210
DOI,AMES FEDERAL CONTRACTING GROUP LLC,WCK5W6RK82X1,112100000
DOI,"TEPA EC, LLC",EZMNZ2HYHFB7,109376451
DOI,CDM CONSTRUCTORS INC,LLB7TD5CJZN4,88273588
DOI,DEEP MILE NETWORKS LLC,KJQXXKB5WF89,87876969
DOI,GUIDEHOUSE INC.,N9NJK877QJK9,77540212
DOI,PERIMETER SOLUTIONS LP,QGUQWSU5AHB4,66657060
DOI,BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,53945450
DOJ,"METROPOLITAN SECURITY SERVICES, INC.",M8XJCDL1AE26,510012951
DOJ,MCKESSON CORPORATION,S1RUKWWRYFL6,211984610
DOJ,CGI FEDERAL INC.,TRKEP1HEBNS5,170725932
DOJ,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,170077363
DOJ,NAPHCARE LLC,GB3CE4QXH6A4,169443318
DOJ,BRASFIELD & GORRIE LLC,TWVGJRMK6Z78,158861770
DOJ,"AT&T ENTERPRISES, LLC",MX89BGD5FK75,143670276
DOJ,"MINBURN TECHNOLOGY GROUP, LLC",WN8JFVZTBCA5,137037324
DOJ,"THUNDERCAT TECHNOLOGY, LLC",UER4AJLUB8D5,123518331
DOJ,FORFEITURE SUPPORT ASSOCIATES LLC,KJV1FNRCA649,122463023
DOJ,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,117868151
DOJ,"HERITAGE HEALTH SOLUTIONS, INC.",RQ68XNJUBBV5,112571940
DOL,ADAMS AND ASSOCIATES INC,HV9FBNEWXMY9,195228661
DOL,MANAGEMENT & TRAINING CORPORATION,G58ZEJ7HJGM1,159945156
DOL,EDUCATION & TRAINING RESOURCES LLC,MV7PBX3HLST1,111698634
DOL,ARBOR E & T LLC,MSYFSPW9KMD3,74041041
DOL,CAREER SYSTEMS DEVELOPMENT CORPORATION,V6JEP5H4PGM8,72926433
DOL,SERRATO CORPORATION,UFU3KV3SYHR3,45739042
DOL,PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,43812873
DOL,STRATEGIX MANAGEMENT LLC,JP6YLTEYJLT5,38669962
DOL,THE BIZZELL GROUP LLC,KGJUK3TUQ416,38071748
DOL,"ODLE MANAGEMENT GROUP, L.L.C.",NKU3DN6KB1N4,36638421
DOL,BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,33351150
DOL,HUMAN LEARNING SYSTEMS LLC,C1FEN1NNWWF9,30046446
DOS,XATOR LLC,ZJFDNMA46LT9,618512991
DOS,CGI FEDERAL INC.,TRKEP1HEBNS5,363774985
DOS,BL HARBERT INTERNATIONAL LLC,XXNJCWMAKNH8,323929443
DOS,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,248081459
DOS,"PECKHAM VOCATIONAL INDUSTRIES, INC.",FKJWA9VNRNC9,244676616
DOS,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,235175991
DOS,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,181676682
DOS,"CADDELL CONSTRUCTION CO. (DE), LLC",ELJMJND6DDF3,179919356
DOS,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,175280155
DOS,"PAE GOVERNMENT SERVICES, INC.",JENBF1KKWZ93,168169734
DOS,"INTER-CON SECURITY SYSTEMS, INC.",EZ3SMGBR74X6,166521958
DOS,PERATON INC.,ZBPQEJVECCT4,166389718
DOT,HARRIS CORPORATION,E98VT6T8R7E1,918037660
DOT,CDW GOVERNMENT LLC,PHZDZ8SJ5CM1,181501301
DOT,"LEIDOS, INC.",UE9QJD4KK1L6,164367958
DOT,THE MITRE CORPORATION,DMHDNDCPWUD1,159346543
DOT,"FREQUENTIS USA, INC",P35CUAWMBQ19,156029024
DOT,"TOTE SERVICES, LLC",UFQGBQM3JDY5,152450490
DOT,RAYTHEON COMPANY,YD6LTFVUZNG1,151275736
DOT,"CROWLEY GOVERNMENT SERVICES, INC.",VMEFT5X61JT9,150454334
DOT,TEXTRON AVIATION INC,LH8RF2CKLWK5,147582348
DOT,"INDRA AIR TRAFFIC, INC.",VB6HQ7ADUGK8,144356049
DOT,PTSI MANAGED SERVICES INC,V6HHNX7LE717,140907084
DOT,WALSH FEDERAL LLC,DMFWBVTL9324,138996265
ED,NELNET SERVICING LLC,MNXKQ62J7AE8,397232036
ED,ACCENTURE FEDERAL SERVICES LLC,C47BNA8GM833,298424090
ED,MAXIMUS EDUCATION LLC,HSUVUJE1ESU7,295267629
ED,EDFINANCIAL SERVICES LLC,TB69PMAFZSK8,249322950
ED,MISSOURI HIGHER EDUCATION LOAN AUTHORITY,N76QY63KMM18,239777672
ED,"MAXIMUS FEDERAL SERVICES, INC.",TREKW6J3QSF5,186168006
ED,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,86552416
ED,CENTRAL RESEARCH INC,CFJLNG96G1K5,81301728
ED,PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,69350050
ED,EDUCATIONAL TESTING SERVICE,SZN1MPHQN853,62824667
ED,"F.H. CANN & ASSOCIATES, INC.",JLCRDYL2L161,57836539
ED,"WESTAT, INC.",NVUWAFWQ57S5,43226145
EPA,"ENVIRONMENTAL QUALITY MANAGEMENT, INC",DBD6KDKXWN65,141735682
EPA,"SEVENSON ENVIRONMENTAL SERVICES, INC.",VHPJR3MJWV49,136907985
EPA,ENVIRONMENTAL RESTORATION LLC,MHMPN3F73NX3,115370521
EPA,WESTON SOLUTIONS INC,Z4XGALW7L9K6,84868589
EPA,EASTERN RESEARCH GROUP INC,DK4TBEJRAR56,66893111
EPA,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",LEEMJD9WKDC9,55599038
EPA,"HYDROGEOLOGIC, INC.",S7Q4GKNGGA81,45764756
EPA,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,39300519
EPA,"ENDYNA, INC.",GKWTAHYKMC62,38422335
EPA,"CH2M HILL, INC",NBG7N3TRX7K4,34498708
EPA,CDM FEDERAL PROGRAMS CORPORATION,DHS5ZJSFCSH9,32191827
EPA,S C & A INC,FD83JSMSL9K1,31178756
GSA,BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,2359494941
GSA,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,MMLKPW9JLX64,1100286085
GSA,"CACI, INC. - FEDERAL",N3PBJAVNKF61,961723064
GSA,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,924598121
GSA,HII MISSION TECHNOLOGIES CORP,G5H7HWC4L2R5,879384564
GSA,DELOITTE CONSULTING LLP,CKV2L9GZKJK3,685567320
GSA,PERATON INC.,ZBPQEJVECCT4,651067103
GSA,"LEIDOS, INC.",MDSWM6MB1BH7,488040496
GSA,FORD MOTOR CO,QD3MLADL7366,474028573
GSA,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",JY2BDT2K58Z6,455608583
GSA,"SALIENT CRGT, INC.",Q5LJNF15T2R5,405561269
GSA,FLEET VEHICLE SOURCE INC,CGAKREGGN9J3,391386732
HHS,"MAXIMUS FEDERAL SERVICES, INC.",TREKW6J3QSF5,949709498
HHS,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",SMNWM6HN79X5,839322393
HHS,LEIDOS BIOMEDICAL RESEARCH INC,HV8BH9BPG8Y9,559562925
HHS,DELOITTE CONSULTING LLP,CKV2L9GZKJK3,407386674
HHS,BOOZ ALLEN HAMILTON INC,JCBMLGPE6Z71,391842378
HHS,"PALMETTO GBA, LLC",CFLDECZBMDV6,362647588
HHS,CARAHSOFT TECHNOLOGY CORP,DT8KJHZXVJH5,276228205
HHS,"NATIONAL GOVERNMENT SERVICES, INC.",TJNDFEALGTB5,261054352
HHS,"NORIDIAN HEALTHCARE SOLUTIONS, LLC",S9LBFM3QCED8,236144109
