district_id,district,state,obligations,population
0101,AL-01,AL,1266327739,727212
0102,AL-02,AL,2836561749,716212
0103,AL-03,AL,499939582,721289
0104,AL-04,AL,-64082472,723070
0105,AL-05,AL,12833644325,729384
0106,AL-06,AL,202554411,706497
0107,AL-07,AL,568068359,716213
0200,AK-00,AK,3851106277,732673
0401,AZ-01,AZ,1178869566,796924
0402,AZ-02,AZ,541300119,809339
0403,AZ-03,AZ,1683065292,799570
0404,AZ-04,AZ,1359950128,804813
0405,AZ-05,AZ,998601015,813308
0406,AZ-06,AZ,1189382178,803556
0407,AZ-07,AZ,12398980457,793370
0408,AZ-08,AZ,3596427704,813094
0409,AZ-09,AZ,371184479,842342
0501,AR-01,AR,188571666,753369
0502,AR-02,AR,197997629,758976
0503,AR-03,AR,187807015,766477
0504,AR-04,AR,688712268,747069
0601,CA-01,CA,426817924,766941
0602,CA-02,CA,254362334,764439
0603,CA-03,CA,1589539146,768419
0604,CA-04,CA,65254882,758825
0605,CA-05,CA,355257562,773398
0606,CA-06,CA,308923411,756779
0607,CA-07,CA,256836627,760350
0608,CA-08,CA,386786085,746240
0609,CA-09,CA,518250136,770460
0610,CA-10,CA,587269464,762072
0611,CA-11,CA,512262811,702058
0612,CA-12,CA,1733780341,737766
0613,CA-13,CA,411956294,783282
0614,CA-14,CA,3843069876,752226
0615,CA-15,CA,80320161,738342
0616,CA-16,CA,2038013283,742459
0617,CA-17,CA,1737832374,733185
0618,CA-18,CA,474484594,734119
0619,CA-19,CA,983656167,767441
0620,CA-20,CA,1405490649,766063
0621,CA-21,CA,114842001,755683
0622,CA-22,CA,288756451,795088
0623,CA-23,CA,819291100,761286
0624,CA-24,CA,1111948296,763077
0625,CA-25,CA,1328571039,767946
0626,CA-26,CA,1450830196,751524
0627,CA-27,CA,904980798,748536
0628,CA-28,CA,3403686515,739036
0629,CA-29,CA,261101489,738555
0630,CA-30,CA,141300918,731165
0631,CA-31,CA,2964633834,738315
0632,CA-32,CA,2334169373,763531
0633,CA-33,CA,41717083,760127
0634,CA-34,CA,349461872,750705
0635,CA-35,CA,238712403,774713
0636,CA-36,CA,6860913819,722961
0637,CA-37,CA,152144737,752632
0638,CA-38,CA,280833781,743870
0639,CA-39,CA,371170062,767831
0640,CA-40,CA,262473753,753484
0641,CA-41,CA,193483226,789845
0642,CA-42,CA,2707177526,742949
0643,CA-43,CA,2244818495,736160
0644,CA-44,CA,199549066,754013
0645,CA-45,CA,256139029,748285
0646,CA-46,CA,-395740785,757761
0647,CA-47,CA,1148296301,755464
0648,CA-48,CA,1874301379,752792
0649,CA-49,CA,1686671483,765147
0650,CA-50,CA,5391542624,748297
0651,CA-51,CA,1927422682,762785
0652,CA-52,CA,3142166542,759409
0801,CO-01,CO,1067453718,716790
0802,CO-02,CO,979871050,717177
0803,CO-03,CO,529634950,734246
0804,CO-04,CO,1974946434,746626
0805,CO-05,CO,4042601850,731281
0806,CO-06,CO,1723684168,725034
0807,CO-07,CO,5680727224,716843
0808,CO-08,CO,109018342,724072
0901,CT-01,CT,7606987688,717721
0902,CT-02,CT,21885234978,729071
0903,CT-03,CT,5367274069,719381
0904,CT-04,CT,102381767,718640
0905,CT-05,CT,178471116,720784
1000,DE-00,DE,368123756,1003384
1198,DC-98,DC,31418571559,670050
1201,FL-01,FL,2431044064,775137
1202,FL-02,FL,770493738,785319
1203,FL-03,FL,184482680,779758
1204,FL-04,FL,1336504384,786011
1205,FL-05,FL,1090215310,784246
1206,FL-06,FL,276162010,786354
1207,FL-07,FL,170516463,768702
1208,FL-08,FL,7228961552,781963
1209,FL-09,FL,335614799,762639
1210,FL-10,FL,9308191211,777189
1211,FL-11,FL,71140967,807589
1212,FL-12,FL,134477928,778826
1213,FL-13,FL,1592157306,768563
1214,FL-14,FL,3552143266,775035
1215,FL-15,FL,182800924,800482
1216,FL-16,FL,90963340,789177
1217,FL-17,FL,126196796,801807
1218,FL-18,FL,105866250,785291
1219,FL-19,FL,378585170,788513
1220,FL-20,FL,559620674,750268
1221,FL-21,FL,154617470,785345
1222,FL-22,FL,157694600,774317
1223,FL-23,FL,601177564,773856
