fips,county,state,in_returns,in_agi_k,out_returns,out_agi_k
01001,Autauga,AL,2120,135795,1888,115092
01003,Baldwin,AL,7537,639323,5555,395802
01005,Barbour,AL,377,17685,492,19330
01007,Bibb,AL,416,22039,409,18086
01009,Blount,AL,1261,67438,1262,66771
01011,Bullock,AL,150,6051,188,8272
01013,Butler,AL,269,10131,370,14554
01015,Calhoun,AL,2396,110146,2399,113052
01017,Chambers,AL,779,35496,850,35210
01019,Cherokee,AL,686,40826,556,26512
01021,Chilton,AL,948,50971,813,38751
01023,Choctaw,AL,151,6710,184,7242
01025,Clarke,AL,347,14436,443,20368
01027,Clay,AL,285,12687,285,13001
01029,Cleburne,AL,372,19390,328,17272
01031,Coffee,AL,2045,112413,1951,110012
01033,Colbert,AL,1551,87970,1389,71247
01035,Conecuh,AL,205,8248,229,9667
01037,Coosa,AL,288,14921,240,10433
01039,Covington,AL,703,33768,668,27460
01041,Crenshaw,AL,319,13498,280,11167
01043,Cullman,AL,1949,122081,1485,82041
01045,Dale,AL,2263,117050,2189,112253
01047,Dallas,AL,490,20084,671,27497
01049,DeKalb,AL,1400,70653,1280,54613
01051,Elmore,AL,2389,145919,2201,131973
01053,Escambia,AL,687,31638,671,27551
01055,Etowah,AL,2106,117850,1941,99235
01057,Fayette,AL,296,13359,333,13737
01059,Franklin,AL,524,22402,628,29948
01061,Geneva,AL,707,32238,576,24048
01063,Greene,AL,124,4862,174,6107
01065,Hale,AL,443,20573,354,15344
01067,Henry,AL,477,27685,451,20421
01069,Houston,AL,2834,144200,2684,147924
01071,Jackson,AL,1222,67627,962,47432
01073,Jefferson,AL,13148,875290,14189,1033409
01075,Lamar,AL,227,9167,263,11068
01077,Lauderdale,AL,2127,115728,2042,104773
01079,Lawrence,AL,742,38225,586,29440
01081,Lee,AL,5251,363246,5086,290668
01083,Limestone,AL,3945,292102,2792,211229
01085,Lowndes,AL,215,10325,240,9732
01087,Macon,AL,346,13643,410,17003
01089,Madison,AL,11942,830949,9449,693408
01091,Marengo,AL,341,14592,410,16205
01093,Marion,AL,668,29461,610,25941
01095,Marshall,AL,2167,136231,2015,97964
01097,Mobile,AL,6065,328812,6394,361090
01099,Monroe,AL,302,13726,373,18280
01101,Montgomery,AL,4601,258275,5708,393132
01103,Morgan,AL,2707,157199,2580,141656
01105,Perry,AL,147,5363,174,5148
01107,Pickens,AL,249,11685,351,16688
01109,Pike,AL,843,37612,937,40083
01111,Randolph,AL,528,31681,472,23910
01113,Russell,AL,2365,104065,2370,105194
01115,St. Clair,AL,2849,178728,2310,136562
01117,Shelby,AL,7006,530116,6407,505002
01119,Sumter,AL,173,6254,232,8978
01121,Talladega,AL,1927,102970,1724,82251
01123,Tallapoosa,AL,898,75665,979,65453
01125,Tuscaloosa,AL,4309,221451,4590,263469
01127,Walker,AL,1164,65444,1000,46489
01129,Washington,AL,307,14828,323,13489
01131,Wilcox,AL,158,6319,230,9812
01133,Winston,AL,544,31763,540,29033
02013,Aleutians East,AK,30,1742,69,4442
02016,Aleutians West,AK,194,10966,144,10811
02020,Anchorage,AK,7972,511560,8720,656027
02050,Bethel,AK,193,10673,352,26899
02063,Chugach,AK,222,13828,250,20301
02066,Copper River,AK,97,5886,78,4436
02068,Denali,AK,85,5267,82,5901
02070,Dillingham,AK,36,1460,90,6004
02090,Fairbanks North Star,AK,3553,193006,4079,268450
02100,Haines,AK,70,5425,64,4397
02105,Hoonah-Angoon,AK,54,4219,65,4183
02110,Juneau,AK,877,63847,992,76878
02122,Kenai Peninsula,AK,1665,128713,1531,108240
02130,Ketchikan Gateway,AK,416,26962,417,29712
02150,Kodiak Island,AK,439,25614,522,37273
02158,Kusilvak,AK,48,1637,116,3427
02170,Matanuska-Susitna,AK,3107,238150,2736,173387
02180,Nome,AK,88,5922,145,9837
02185,North Slope,AK,38,2027,118,11863
02188,Northwest Arctic,AK,66,3938,95,7387
02195,Petersburg,AK,54,3557,63,3644
02198,Prince of Wales-Hyder,AK,103,6232,95,6240
02220,Sitka,AK,325,19777,302,20778
02230,Skagway,AK,20,1194,27,1392
02240,Southeast Fairbanks,AK,198,13843,211,14183
02275,Wrangell,AK,24,2457,47,3120
02290,Yukon-Koyukuk,AK,68,3895,134,7558
04001,Apache,AZ,1378,63787,1719,74220
04003,Cochise,AZ,3805,217082,3557,198904
04005,Coconino,AZ,4782,293451,5473,346088
04007,Gila,AZ,1474,102214,1253,81341
04009,Graham,AZ,722,42202,637,34433
04011,Greenlee,AZ,257,14738,249,16586
04012,La Paz,AZ,674,32665,557,28397
04013,Maricopa,AZ,91115,8070043,85508,6677200
04015,Mohave,AZ,7036,479513,5267,294137
04017,Navajo,AZ,2949,178184,2676,148020
04019,Pima,AZ,22250,1698782,20633,1458533
04021,Pinal,AZ,20487,1439744,13717,817434
04023,Santa Cruz,AZ,990,57527,1146,55097
04025,Yavapai,AZ,8393,752506,6696,460378
04027,Yuma,AZ,4851,263859,4742,257250
05001,Arkansas,AR,306,11726,370,18100
05003,Ashley,AR,286,10671,336,13800
05005,Baxter,AR,1251,69976,1046,53059
05007,Benton,AR,10730,847559,8157,627249
05009,Boone,AR,925,46921,894,38696
05011,Bradley,AR,159,5936,187,8702
05013,Calhoun,AR,95,4546,109,4787
05015,Carroll,AR,784,43693,758,32269
05017,Chicot,AR,156,7625,215,8988
05019,Clark,AR,547,21344,551,26721
05021,Clay,AR,330,13006,321,13113
05023,Cleburne,AR,778,47703,725,35695
05025,Cleveland,AR,162,7693,186,7403
05027,Columbia,AR,412,18358,435,21574
05029,Conway,AR,518,22247,512,22716
05031,Craighead,AR,3092,144067,2872,143252
05033,Crawford,AR,1784,82801,1561,68476
05035,Crittenden,AR,1019,41944,1097,50028
05037,Cross,AR,311,12821,394,16542
05039,Dallas,AR,178,7825,170,5924
05041,Desha,AR,193,7276,263,9986
05043,Drew,AR,479,17218,407,16663
05045,Faulkner,AR,3950,202301,3395,169644
05047,Franklin,AR,467,23381,434,18698
05049,Fulton,AR,388,18937,338,12555
05051,Garland,AR,2534,157012,2504,144271
05053,Grant,AR,517,27978,459,22821
05055,Greene,AR,1124,48537,986,37824
05057,Hempstead,AR,335,13017,442,17216
05059,Hot Spring,AR,843,39523,767,32079
05061,Howard,AR,245,10832,270,9716
05063,Independence,AR,812,37845,796,36793
05065,Izard,AR,394,18557,278,10728
05067,Jackson,AR,304,9936,276,11543
05069,Jefferson,AR,1175,41792,1388,59461
05071,Johnson,AR,608,26829,587,22206
05073,Lafayette,AR,133,5287,138,5011
05075,Lawrence,AR,420,16282,428,17132
05077,Lee,AR,142,3974,168,5293
05079,Lincoln,AR,195,9352,231,9191
05081,Little River,AR,270,11452,263,10769
05083,Logan,AR,504,21900,473,20577
05085,Lonoke,AR,2637,145047,2457,124626
05087,Madison,AR,570,29755,427,23927
05089,Marion,AR,622,34218,468,19749
05091,Miller,AR,1333,75744,1307,53486
05093,Mississippi,AR,737,30029,797,33023
05095,Monroe,AR,130,4720,146,5502
