from_fips,from_county,from_state,to_fips,to_county,to_state,returns,people,agi_k
02020,Anchorage,AK,02170,Matanuska-Susitna,AK,1023,1951,88168
02170,Matanuska-Susitna,AK,02020,Anchorage,AK,697,1152,39851
02090,Fairbanks North Star,AK,02020,Anchorage,AK,298,462,21265
01073,Jefferson,AL,01117,Shelby,AL,2889,5207,229474
01117,Shelby,AL,01073,Jefferson,AL,2379,3920,188309
01089,Madison,AL,01083,Limestone,AL,1569,3017,119774
05143,Washington,AR,05007,Benton,AR,2548,4636,150417
05007,Benton,AR,05143,Washington,AR,2254,4021,138204
05119,Pulaski,AR,05125,Saline,AR,1338,2562,78385
04013,Maricopa,AZ,04021,Pinal,AZ,10805,20751,714723
04021,Pinal,AZ,04013,Maricopa,AZ,6549,11753,371439
04019,Pima,AZ,04013,Maricopa,AZ,3262,5043,213327
06037,Los Angeles,CA,06059,Orange,CA,19802,31420,2039544
06037,Los Angeles,CA,06071,San Bernardino,CA,18325,34872,1152759
06059,Orange,CA,06037,Los Angeles,CA,16006,23952,1325103
08031,Denver,CO,08005,Arapahoe,CO,8748,13955,751310
08005,Arapahoe,CO,08031,Denver,CO,7829,11897,801089
08031,Denver,CO,08059,Jefferson,CO,7255,10103,696810
09140,Naugatuck Valley Planning Region,CT,09110,Capitol Planning Region,CT,2057,3216,140611
09110,Capitol Planning Region,CT,09140,Naugatuck Valley Planning Region,CT,1821,2914,109209
09190,Western Connecticut Planning Regi,CT,09120,Greater Bridgeport Planning Regio,CT,1761,3109,198586
11001,District of Columbia,DC,24033,Prince George's,MD,4089,6849,236692
11001,District of Columbia,DC,24031,Montgomery,MD,3120,5079,477946
11001,District of Columbia,DC,51013,Arlington,VA,2000,2445,262719
10003,New Castle,DE,42101,Philadelphia,PA,881,1299,50649
10003,New Castle,DE,42045,Delaware,PA,716,1243,56701
10003,New Castle,DE,42029,Chester,PA,647,1179,71001
12086,Miami-Dade,FL,12011,Broward,FL,17471,29098,1248139
12011,Broward,FL,12086,Miami-Dade,FL,10482,16821,661323
12057,Hillsborough,FL,12101,Pasco,FL,8182,15086,626198
13121,Fulton,GA,13089,DeKalb,GA,7989,11968,724038
13089,DeKalb,GA,13121,Fulton,GA,7888,12335,709064
13121,Fulton,GA,13067,Cobb,GA,5477,8582,477864
15003,Honolulu,HI,32003,Clark,NV,1243,2381,86226
15003,Honolulu,HI,06073,San Diego,CA,879,1719,64237
15003,Honolulu,HI,06037,Los Angeles,CA,662,939,50341
19153,Polk,IA,19049,Dallas,IA,2531,4241,209978
19049,Dallas,IA,19153,Polk,IA,2125,3341,180457
19163,Scott,IA,17161,Rock Island,IL,870,1508,46568
16001,Ada,ID,16027,Canyon,ID,3601,6770,236172
16027,Canyon,ID,16001,Ada,ID,2868,4952,169335
16055,Kootenai,ID,53063,Spokane,WA,1094,1801,63143
17031,Cook,IL,17043,DuPage,IL,11143,19059,1237641
17043,DuPage,IL,17031,Cook,IL,8374,12399,716734
17031,Cook,IL,17197,Will,IL,6972,12890,633066
18097,Marion,IN,18057,Hamilton,IN,3949,6506,360145
18057,Hamilton,IN,18097,Marion,IN,3043,4399,251756
18097,Marion,IN,18063,Hendricks,IN,2890,5406,165427
20091,Johnson,KS,29095,Jackson,MO,3513,5034,303690
20091,Johnson,KS,20209,Wyandotte,KS,1499,2646,79539
20209,Wyandotte,KS,20091,Johnson,KS,1457,2515,79448
21111,Jefferson,KY,21029,Bullitt,KY,1536,2795,90002
21015,Boone,KY,21117,Kenton,KY,1499,2606,92264
21117,Kenton,KY,21015,Boone,KY,1473,2648,84746
22071,Orleans,LA,22051,Jefferson,LA,3125,5617,188710
22051,Jefferson,LA,22071,Orleans,LA,2619,4723,131279
22017,Caddo,LA,22015,Bossier,LA,1598,3142,76781
25025,Suffolk,MA,25017,Middlesex,MA,9674,13242,1134188
25017,Middlesex,MA,25025,Suffolk,MA,7512,9405,859466
25025,Suffolk,MA,25021,Norfolk,MA,5965,9272,750915
24510,Baltimore,MD,24005,Baltimore,MD,7832,14217,480574
24005,Baltimore,MD,24510,Baltimore,MD,6454,11086,301106
24031,Montgomery,MD,24033,Prince George's,MD,3823,6334,215650
23005,Cumberland,ME,23031,York,ME,1566,2279,115826
23031,York,ME,23005,Cumberland,ME,1310,1879,84013
23005,Cumberland,ME,23001,Androscoggin,ME,900,1433,53928
26163,Wayne,MI,26125,Oakland,MI,8467,13824,583375
26125,Oakland,MI,26163,Wayne,MI,7246,11689,454712
26163,Wayne,MI,26099,Macomb,MI,5442,10484,237477
27053,Hennepin,MN,27123,Ramsey,MN,6020,8910,363976
27123,Ramsey,MN,27053,Hennepin,MN,5844,8655,349438
27053,Hennepin,MN,27003,Anoka,MN,4072,6868,245280
29510,St. Louis,MO,29189,St. Louis,MO,6585,11755,413392
29189,St. Louis,MO,29510,St. Louis,MO,5157,8205,239505
29189,St. Louis,MO,29183,St. Charles,MO,3854,6788,287386
28033,DeSoto,MS,47157,Shelby,TN,1915,3385,82763
28049,Hinds,MS,28089,Madison,MS,1053,1999,88652
28047,Harrison,MS,28059,Jackson,MS,1013,1981,48599
30063,Missoula,MT,30081,Ravalli,MT,326,576,22684
30081,Ravalli,MT,30063,Missoula,MT,322,464,17309
30031,Gallatin,MT,30111,Yellowstone,MT,239,350,14622
37063,Durham,NC,37183,Wake,NC,3599,5610,283980
37183,Wake,NC,37063,Durham,NC,3465,4950,260032
37183,Wake,NC,37101,Johnston,NC,3410,6568,228759
38017,Cass,ND,27027,Clay,MN,890,1523,45220
38059,Morton,ND,38015,Burleigh,ND,642,1070,36896
38015,Burleigh,ND,38059,Morton,ND,599,989,33083
31055,Douglas,NE,31153,Sarpy,NE,3901,7076,278668
31153,Sarpy,NE,31055,Douglas,NE,3452,5631,235367
31109,Lancaster,NE,31055,Douglas,NE,1038,1401,59352
33015,Rockingham,NH,33011,Hillsborough,NH,1708,2520,130465
33011,Hillsborough,NH,33015,Rockingham,NH,1656,2568,154228
33011,Hillsborough,NH,33013,Merrimack,NH,1362,2121,134958
34017,Hudson,NJ,34003,Bergen,NJ,3893,6721,500517
34025,Monmouth,NJ,34029,Ocean,NJ,2845,4657,267064
34031,Passaic,NJ,34003,Bergen,NJ,2812,4930,193771
35001,Bernalillo,NM,35043,Sandoval,NM,2406,4183,184525
35043,Sandoval,NM,35001,Bernalillo,NM,1896,3033,105437
35013,Do�a Ana,NM,48141,El Paso,TX,1015,2001,44041
32003,Clark,NV,06037,Los Angeles,CA,3176,5432,211179
32003,Clark,NV,04013,Maricopa,AZ,1488,2505,129895
32003,Clark,NV,06073,San Diego,CA,1125,1829,98401
36061,New York,NY,36047,Kings,NY,14123,17176,2139164
36047,Kings,NY,36081,Queens,NY,12183,19144,734317
36081,Queens,NY,36059,Nassau,NY,10413,20494,985184
39049,Franklin,OH,39041,Delaware,OH,4215,7675,430738
39061,Hamilton,OH,39017,Butler,OH,3171,5632,183998
39035,Cuyahoga,OH,39093,Lorain,OH,2947,4971,223222
40109,Oklahoma,OK,40027,Cleveland,OK,3642,6645,189446
40027,Cleveland,OK,40109,Oklahoma,OK,3624,6277,181202
40109,Oklahoma,OK,40017,Canadian,OK,3141,6058,196091
41051,Multnomah,OR,41005,Clackamas,OR,4847,8002,488501
41051,Multnomah,OR,41067,Washington,OR,4496,6466,462714
41067,Washington,OR,41051,Multnomah,OR,4318,5776,294602
42101,Philadelphia,PA,42091,Montgomery,PA,5924,10283,606258
