from_state,to_state,returns,people,agi_k
AK,WA,1600,2642,122661
AK,TX,1349,2738,104785
AK,CA,1143,1903,71061
AK,FL,970,1916,73719
AK,AZ,926,1630,69023
AK,OR,755,1200,52140
AL,GA,8527,15500,466822
AL,FL,7060,12289,524870
AL,TN,4554,7613,292191
AL,TX,4359,7913,296646
AL,MS,2588,4788,151275
AL,NC,1904,3351,125401
AR,TX,6498,11833,406707
AR,MO,3143,5808,153147
AR,OK,2929,5580,137913
AR,TN,1839,3286,99743
AR,FL,1743,3147,168386
AR,CA,1313,2218,84430
AZ,CA,16283,26082,1224370
AZ,TX,9966,17750,800298
AZ,WA,5803,9327,514379
AZ,CO,5683,8903,466663
AZ,FL,5096,8474,482120
AZ,IL,3606,5634,256413
CA,TX,44417,82481,4764727
CA,AZ,28402,47885,2486771
CA,NV,26210,43801,2688408
CA,WA,24625,38093,2745848
CA,NY,20595,25783,2830915
CA,FL,20241,34248,2639386
CO,TX,12275,21783,1088464
CO,CA,9699,14394,877153
CO,FL,9070,15384,954126
CO,AZ,6012,9585,584461
CO,WA,3935,6024,340922
CO,NC,3423,5995,289070
CT,NY,10486,14645,1203524
CT,FL,7668,12876,1210370
CT,MA,6467,8711,556383
CT,CA,2534,3536,312205
CT,NC,2442,4184,228226
CT,TX,2170,3755,237316
DC,MD,9213,15055,936201
DC,VA,6502,9007,872816
DC,NY,2586,2911,293510
DC,CA,1789,2217,217251
DC,FL,1200,1645,213006
DC,TX,941,1298,113337
DE,PA,3885,6237,294829
DE,MD,2955,4909,193944
DE,FL,1546,2618,169481
DE,NJ,1241,1971,92985
DE,NY,914,1346,64812
DE,VA,854,1415,67496
FL,GA,28263,50483,1840880
FL,TX,24196,41655,1694541
FL,NY,22011,32133,1977363
FL,NC,20553,34859,1589532
FL,CA,14113,21724,1328212
FL,TN,12505,21857,945287
GA,FL,23475,40689,2144313
GA,TX,10897,19575,748318
GA,SC,9309,16296,752790
GA,AL,9224,17174,563162
GA,NC,9082,15632,651635
GA,TN,8430,14326,618009
HI,CA,5048,8376,407630
HI,WA,2451,4424,183104
HI,TX,2381,5069,160275
HI,NV,1863,3445,125582
HI,FL,1553,2977,120605
HI,VA,1169,2641,98062
IA,IL,4586,7326,246084
IA,NE,3156,5090,166471
IA,MN,2819,4357,179660
IA,TX,2432,4143,170468
IA,FL,2080,3537,225146
IA,MO,2029,3602,122426
ID,WA,5146,8508,316568
ID,UT,3531,6327,186478
ID,CA,3092,5172,256283
ID,OR,2534,4395,142057
ID,AZ,1745,3043,122048
ID,TX,1732,3358,119902
IL,FL,14834,24958,3309769
