state,state_name,in_returns,in_people,in_agi_k,out_returns,out_people,out_agi_k,stay_returns,stay_people,stay_agi_k
AK,Alaska,14629,25599,925909,16018,29748,1135840,272797,546168,26772183
AL,Alabama,55369,102902,3680222,49167,86565,3140151,1713388,3550021,139765985
AR,Arkansas,36997,68449,2330149,31728,57238,1882656,1036813,2178548,84247653
AZ,Arizona,121675,202429,10646219,104359,175302,7888820,2751830,5449252,252563347
CA,California,252863,389700,24154333,353260,590247,36074839,15314612,30214656,1772983171
CO,Colorado,121390,187420,10018545,110049,180132,9303527,2313002,4460402,258758468
CT,Connecticut,47953,76966,5314233,53627,81733,5774217,1485668,2835790,193117324
DC,District of Columbia,32848,41301,2825041,31175,43869,3652385,268556,436527,37934858
DE,Delaware,21280,35759,1881907,17226,27956,1317828,403901,777967,37188509
FL,Florida,354112,605238,43392569,298763,493496,22745871,8674839,16303618,844657825
GA,Georgia,148244,265330,10402156,133573,229794,9655795,3777248,7730541,345942869
HI,Hawaii,25026,45031,1954096,27623,51856,1957454,575161,1090798,49886404
IA,Iowa,33544,57011,2066584,35958,58478,2333053,1224013,2521469,111425368
ID,Idaho,35831,66095,2911192,30020,53356,1923115,704408,1512372,64181068
IL,Illinois,117297,179622,9245327,145906,233804,15238855,5004015,9877712,520310844
IN,Indiana,69372,121307,4464010,70640,116470,4790403,2641324,5365920,220904297
KS,Kansas,39767,70469,2573264,43039,74517,2934720,1110407,2295643,102061737
KY,Kentucky,48859,86522,2955148,46701,80661,3067028,1600705,3301531,125053804
LA,Louisiana,37020,65960,2154168,47149,83293,2953573,1562631,3205899,122864978
MA,Massachusetts,83296,116816,7487438,98674,145183,11506235,2848186,5355047,375042266
MD,Maryland,83281,135223,6730827,96909,155335,8552303,2405767,4680253,257956032
ME,Maine,20295,31675,1734127,16624,25178,1231885,585443,1082735,48417762
MI,Michigan,71800,119409,5323631,80570,127851,6279884,3966633,7764052,341459308
MN,Minnesota,53331,84839,3758551,58437,92400,5225731,2312986,4640705,235590767
MO,Missouri,72481,124978,4771083,69687,116139,4985688,2304196,4648546,198549975
MS,Mississippi,30358,56470,1726697,33483,59612,1793061,1001228,2088634,68375034
MT,Montana,21390,35226,1692169,18294,29894,1192111,444363,862583,39885374
NC,North Carolina,170751,295243,13687711,131633,226135,9778778,3885844,7856319,351867034
ND,North Dakota,13781,23095,752395,13827,23852,896043,303034,612247,30948834
NE,Nebraska,21989,38081,1316437,23473,39983,1560326,769238,1605931,72896556
NH,New Hampshire,26576,40918,2905242,24408,36723,2148963,596473,1121715,67265147
NJ,New Jersey,107653,173739,11001009,127023,203610,13556817,3680661,7302283,446773780
NM,New Mexico,30572,51817,2020860,30785,53741,2113994,801659,1538567,57110367
NV,Nevada,66782,111121,5827031,57805,99563,4313770,1267802,2413874,125584813
NY,New York,192240,268427,18109373,264227,426397,28003486,7996490,14919845,888443243
OH,Ohio,92684,155049,6231810,100678,161361,7863764,4736756,9154261,398472760
OK,Oklahoma,45591,85394,2689994,40177,72805,2428627,1353237,2859511,109305517
OR,Oregon,64386,98688,4814939,64431,103462,5291313,1641896,3149395,154287734
PA,Pennsylvania,123625,199298,9440727,135720,214178,11623357,5218699,10115673,499759393
RI,Rhode Island,17997,27055,1486471,18126,28123,1448884,456810,833213,42234042
SC,South Carolina,99779,178163,8828025,70565,119061,4697355,1941195,3889729,161494125
SD,South Dakota,15986,26881,1178849,14447,24469,923047,355224,731057,34353583
TN,Tennessee,113788,198430,9038162,89684,155531,6284702,2602623,5271995,233685317
TX,Texas,307240,553369,25695193,250767,440888,20151443,10721364,22633880,1068343065
UT,Utah,45863,80211,3674960,42699,79014,3197599,1203063,2715289,123827248
VA,Virginia,135609,230220,11164308,135188,230262,12076054,3236632,6500756,355179716
VT,Vermont,11277,16939,925835,11576,16855,832731,279211,511458,24463759
WA,Washington,122184,192628,10983098,112345,192657,11248232,3074607,6052494,371552108
WI,Wisconsin,56675,89800,4101735,56159,87047,4177449,2441603,4784708,220689680
WV,West Virginia,20894,36521,1221973,20015,33384,1211188,649802,1299045,45856111
WY,Wyoming,12702,22038,1014740,12515,21663,865524,228840,464392,26656040
