fips,county,state,population,households,median_age,median_income,bachelors_pct
01001,Autauga,AL,59285,22523,39.2,69841,28.3
01003,Baldwin,AL,239945,94642,43.7,75019,32.8
01005,Barbour,AL,24757,9080,40.7,44290,11.5
01007,Bibb,AL,22152,7571,41.3,51215,11.5
01009,Blount,AL,59292,21977,40.9,61096,15.6
01015,Calhoun,AL,116141,45125,39,55826,20.5
01017,Chambers,AL,34450,13419,41.5,49295,14.6
01019,Cherokee,AL,25224,10477,47.4,50769,15.9
01021,Chilton,AL,45500,17554,39.5,61873,15.2
01025,Clarke,AL,22802,8452,42.5,49167,15.4
01031,Coffee,AL,54231,20860,38.8,64672,21.5
01033,Colbert,AL,57648,24217,42.3,56736,20.3
01039,Covington,AL,37647,14495,42.8,50886,17.2
01043,Cullman,AL,89463,34543,41.1,60916,19.1
01045,Dale,AL,49516,19769,38,53955,19.3
01047,Dallas,AL,37536,15416,40.3,36810,17
01049,DeKalb,AL,71946,25946,39.6,51149,13.9
01051,Elmore,AL,88669,32529,38.9,75553,24.4
01053,Escambia,AL,36695,12781,40.5,44447,12.5
01055,Etowah,AL,103208,39160,41.8,53070,17.5
01059,Franklin,AL,31978,11593,38.6,51493,14.9
01061,Geneva,AL,26726,10550,44,50951,13.3
01069,Houston,AL,107628,42581,40.3,57531,22.8
01071,Jackson,AL,52839,21186,43.4,49454,15.6
01073,Jefferson,AL,669744,268911,37.8,64589,35.9
01077,Lauderdale,AL,95037,38777,40.7,59082,27.1
01079,Lawrence,AL,33182,13145,42.8,60040,15.6
01081,Lee,AL,177663,67944,33.6,61123,41.3
01083,Limestone,AL,107577,40021,40.5,83534,30.4
01089,Madison,AL,397135,162469,38.2,83528,45.7
01093,Marion,AL,29190,10874,43.8,50714,12.8
01095,Marshall,AL,98712,35963,38.6,60946,21.3
01097,Mobile,AL,413162,160507,38.4,58119,25.2
01101,Montgomery,AL,227197,90785,36.9,58153,34.3
01103,Morgan,AL,123742,48752,40.3,64858,23.2
01109,Pike,AL,32953,12605,31.7,47961,27.3
01111,Randolph,AL,22310,9127,44,51551,20.5
01113,Russell,AL,58858,23784,37.2,50046,16.9
01115,St. Clair,AL,92903,34477,41,78993,19.9
01117,Shelby,AL,226955,85414,40,93543,46.2
01121,Talladega,AL,81170,32889,42.2,56249,16.8
01123,Tallapoosa,AL,41070,16548,45.4,57185,18.7
01125,Tuscaloosa,AL,234036,87289,33,63947,31.4
01127,Walker,AL,64886,24843,41.3,54509,16
01133,Winston,AL,23637,9328,45.3,48032,13.4
02020,Anchorage,AK,289069,107868,34.9,98152,37.7
02090,Fairbanks North Star,AK,95555,36176,32.4,84722,33.7
