fips,establishments,food_services,grocery
01001,968,94,15
01003,6409,577,106
01005,412,41,7
01007,313,15,9
01009,777,61,12
01015,2232,220,45
01017,572,50,9
01019,391,30,6
01021,806,55,16
01025,581,48,7
01031,1022,112,16
01033,1268,103,29
01039,864,66,17
01043,1867,135,29
01045,716,70,18
01047,651,45,14
01049,1165,88,29
01051,1305,121,20
01053,755,59,10
01055,1954,180,33
01059,539,41,21
01061,424,30,16
01069,2859,252,46
01071,876,68,18
01073,16989,1446,276
01077,2053,202,34
01079,408,41,4
01081,3377,397,50
01083,1629,118,25
01089,9295,846,128
01093,546,47,18
01095,2010,184,45
01097,8960,688,183
01101,5584,469,97
01103,2684,194,49
01109,650,77,9
01111,364,25,5
01113,850,89,20
01115,1454,115,28
01117,5610,417,79
01121,1256,104,20
01123,823,69,14
01125,4189,443,79
01127,1251,94,24
01133,412,24,8
02020,8799,696,87
02090,2576,219,29
02110,1100,88,17
02122,2405,210,39
02170,2822,209,26
04001,442,37,13
04003,2189,219,40
04005,3955,437,56
04007,1065,118,13
04009,574,61,12
04013,109863,8992,1109
04015,4305,391,53
04017,1860,187,24
04019,21381,1862,265
04021,4723,391,67
04023,1129,85,15
04025,6559,517,76
04027,3376,318,53
05005,1125,85,23
05007,7788,542,91
05009,916,63,14
05015,722,84,16
05019,540,47,11
05023,601,52,7
05027,535,39,10
05029,417,28,13
05031,2788,247,29
05033,1130,90,13
05035,844,72,22
05045,2990,245,18
05051,2953,263,60
05055,842,75,14
05059,513,41,6
05063,810,65,14
05069,1199,100,40
05071,413,38,0
05083,360,27,4
05085,1175,94,14
05091,730,59,20
05093,737,72,20
05103,465,29,13
05111,333,32,12
05115,1601,129,13
05119,12185,968,189
05123,404,31,10
05125,2389,189,27
05131,3398,291,50
05139,1036,69,15
05143,6281,628,80
05145,1637,147,18
05149,323,20,7
06001,42318,4119,806
06005,868,94,22
06007,4677,419,114
06009,986,97,21
06011,417,34,18
06013,25932,2186,441
06015,431,36,12
06017,5005,443,75
06019,19144,1730,531
06021,514,47,21
06023,3178,337,77
06025,2677,239,60
06029,14352,1459,397
06031,1821,209,77
06033,1089,109,35
06035,394,33,12
06037,304988,23693,4857
06039,2366,221,67
06041,10049,654,142
06045,2432,231,66
06047,3592,372,107
06053,9212,905,262
06055,4486,345,124
06057,3323,225,58
06059,106961,8407,1362
06061,12180,1000,144
06065,46244,4308,877
06067,34280,3267,680
06069,1168,112,22
06071,42571,3955,870
06073,93407,7761,1517
06075,33378,3920,655
06077,13638,1294,368
06079,8962,871,180
06081,21569,2021,330
06083,12484,1108,314
06085,49154,4820,752
06087,7136,630,149
06089,4508,355,67
06093,1070,97,34
06095,7755,793,175
06097,14572,1204,327
06099,10013,1013,279
06101,2243,178,51
06103,999,101,29
06107,7189,705,229
06109,1266,123,21
06111,22992,1694,442
06113,4509,418,88
06115,915,89,36
08001,11319,876,260
08005,20137,1454,317
08013,12990,877,157
08014,2337,176,25
08029,878,64,22
08031,27422,2319,408
08035,10563,645,108
08037,3664,249,45
08039,722,33,6
08041,18852,1493,294
08043,938,82,20
08045,2705,171,36
08059,17999,1273,263
08067,2447,187,36
08069,11764,876,162
08075,559,36,12
08077,4827,320,69
08083,759,60,17
08085,1501,91,19
08087,711,51,17
08101,3250,327,70
08107,1860,129,26
08117,2306,245,42
